program		        	1			1
teste123	    		25			1
;			            47			1
var			            4			2
nome			        25			2
:			            39			2
integer			        8			2
;			            47			2

var			            4			3
x			            25			3
,			            46			3
y			            25			3
,			            46			3
z			            25			3
:			            39			3
integer		        	8			3
;			            47			3


begin			        6			5


nome		        	25			6
:=			            38			6
Filipi Souza			48			6
;			            47			6


x			            25			8
:=			            38			8
1000			        26			8
;			            47			8


z			            25			9
:=			            38			9
(			            36			9
*			            32			9
y			            25			9
)			            37			9
;			            47			9


writeln			        21			10
O RESULTADO ESTA OK		48			10
;			            47			10


readln			        20			8
(			            36			8
,			            46			8
y			            25			8
)			            37			8
;			            47			8


end			            7			12
;			            47			12
